epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.9839,2.31676,3.27044,1.98414,0.01933,0.09206,0.01602,0.00666,2.3215,3.45058,1.8996,6e-05,6e-05,6e-05
2,77.8615,2.14897,3.23202,1.80992,0.03578,0.17037,0.03084,0.01741,2.16424,3.39266,1.76461,0.000138268,0.000138268,0.000138268
3,116.647,1.94677,2.94883,1.66016,0.05422,0.2582,0.04773,0.02461,2.03411,3.31321,1.63347,0.000214555,0.000214555,0.000214555
4,164.444,1.87975,2.46204,1.55697,0.07844,0.37354,0.08029,0.04059,2.00319,3.15165,1.53577,0.000288863,0.000288863,0.000288863
5,231.372,1.81889,2.06772,1.4883,0.09,0.42857,0.18264,0.0899,2.08029,2.9592,1.5212,0.00036119,0.00036119,0.00036119
6,273.342,1.78523,1.85656,1.48448,0.09622,0.4582,0.2154,0.10136,2.15071,2.72821,1.56798,0.000431538,0.000431538,0.000431538
7,323.215,1.69626,1.79043,1.44425,0.10867,0.51746,0.20587,0.10498,2.06705,2.52035,1.55516,0.000499905,0.000499905,0.000499905
8,380.463,1.71578,1.67906,1.43744,0.33325,0.32169,0.24668,0.12625,2.10323,2.38449,1.55931,0.000566292,0.000566292,0.000566292
9,420.416,1.7457,1.67666,1.48933,0.43803,0.27407,0.28847,0.15205,2.05786,2.18661,1.59936,0.0006307,0.0006307,0.0006307
10,463.239,1.68059,1.56929,1.45197,0.42025,0.33439,0.31907,0.16121,2.05531,2.01549,1.644,0.000693127,0.000693127,0.000693127
11,499.921,1.64304,1.53396,1.40913,0.39702,0.36508,0.33294,0.1651,2.06492,1.91766,1.63765,0.000753575,0.000753575,0.000753575
12,536.002,1.59471,1.5658,1.43527,0.43767,0.34603,0.31734,0.17343,1.93994,1.91312,1.62422,0.000812043,0.000812043,0.000812043
13,568.699,1.57203,1.56028,1.45082,0.35054,0.33333,0.28255,0.1545,2.02794,1.90355,1.72631,0.00086853,0.00086853,0.00086853
14,603.271,1.62755,1.56379,1.42856,0.34344,0.32487,0.28221,0.1542,2.00809,1.95217,1.70923,0.000923037,0.000923037,0.000923037
15,648.441,1.67323,1.51844,1.42304,0.39847,0.29947,0.28448,0.16275,1.92924,2.11282,1.59645,0.000975565,0.000975565,0.000975565
16,683.101,1.59393,1.48287,1.37775,0.40636,0.27619,0.26296,0.14647,1.93391,2.20419,1.59164,0.00102611,0.00102611,0.00102611
17,718.083,1.55887,1.45955,1.3933,0.36631,0.29947,0.25454,0.14009,1.98117,2.19101,1.62224,0.00107468,0.00107468,0.00107468
18,1051.66,1.56365,1.42713,1.38604,0.42623,0.31746,0.29823,0.1561,2.04103,1.8485,1.74728,0.00112127,0.00112127,0.00112127
19,1084.51,1.54785,1.41105,1.35495,0.48351,0.32063,0.33695,0.18123,1.9752,1.81368,1.6868,0.00116588,0.00116588,0.00116588
20,1117.77,1.56299,1.40133,1.37057,0.49843,0.32804,0.33993,0.18261,1.97007,1.93703,1.64556,0.0012085,0.0012085,0.0012085
21,1149.64,1.53842,1.37977,1.36781,0.47062,0.36124,0.36165,0.19317,2.01042,1.80876,1.62687,0.00124915,0.00124915,0.00124915
22,1183.82,1.5239,1.33632,1.31484,0.4584,0.34074,0.34049,0.19054,1.96752,1.91238,1.57638,0.00128782,0.00128782,0.00128782
23,1217.62,1.52281,1.3217,1.34343,0.46083,0.33757,0.34134,0.19019,1.98744,1.96663,1.55304,0.00132451,0.00132451,0.00132451
24,1251.64,1.50077,1.31264,1.33641,0.48952,0.33439,0.35886,0.19837,1.9709,1.91524,1.51874,0.00135921,0.00135921,0.00135921
25,1285.22,1.50342,1.3304,1.32679,0.48568,0.34286,0.36675,0.2052,1.92944,1.86682,1.49396,0.00139194,0.00139194,0.00139194
26,1316.01,1.49894,1.33186,1.33367,0.51844,0.31958,0.35669,0.2052,1.86836,1.92226,1.4765,0.00138125,0.00138125,0.00138125
27,1350.31,1.47985,1.27293,1.32254,0.46446,0.30053,0.3325,0.19058,1.93213,2.06741,1.49616,0.0013565,0.0013565,0.0013565
28,1381.82,1.48927,1.30861,1.34309,0.42629,0.28042,0.30887,0.16925,1.97715,2.13738,1.51967,0.00133175,0.00133175,0.00133175
29,1414.08,1.50936,1.2873,1.32942,0.4129,0.26878,0.2826,0.16315,1.90341,2.17652,1.49781,0.001307,0.001307,0.001307
30,1447.78,1.50762,1.26321,1.34188,0.40017,0.28466,0.27572,0.16045,1.8621,2.16308,1.47861,0.00128225,0.00128225,0.00128225
31,1478.24,1.44614,1.26834,1.30719,0.3891,0.30734,0.27823,0.16186,1.88468,2.06353,1.49452,0.0012575,0.0012575,0.0012575
